Name,Entity Type,Role/Authority,Managed AUM,Check Min (USD),Check Max (USD),Check Size,LinkedIn
Nancy Coblenz,Single Family Office,Lead Allocator / Principal,Undisclosed,500000,4000000,$500K – $4M,https://www.linkedin.com/in/nancycoblenz
Natalie Ngai,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/nataliengai
Ndidiamaka Obadan,Private Fund of Funds,Managing Partner / GP,Undisclosed,50000,50000,$50K,https://www.linkedin.com/in/dr-ndidiamaka-obadan-md-ms-fasn
Neetu Puranikmath,Cooper Family Office,Lead Allocator / Principal,$1B+,,,,https://www.linkedin.com/in/neetupuranikmath
Nitin Agrawal,Single Family Office,Lead Allocator / Principal,$50M-$200M,5000000,20000000,$5M – $20M,https://www.linkedin.com/in/nitin-agrawal71195
Oleg Golynker,Private Capital,Principal,$50M-$200M,20000,1500000,$20K – $1.5M,https://www.linkedin.com/in/oleggolynker
Pankaj Bagga,Private Capital,Principal,Undisclosed,5000,250000,$5K – $250K,https://www.linkedin.com/in/pankaj-bagga
Paolo Privitera,ME Ventures,Lead Allocator / Principal,$200M-$1B,100000,10000000,$100K – $10M,https://www.linkedin.com/in/paoloprivitera
Paul V Fishback,Private Capital,Principal,Undisclosed,100000,250000,$100K – $250K,https://www.linkedin.com/in/paul-fishback
Peter Weisz,Single Family Office,Lead Allocator / Principal,$50M-$200M,20000000,20000000,$20M,https://www.linkedin.com/in/peter-weisz
Philippe Mossier,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/philippemossier
Pras Hanuma,Private Capital,Principal,$50M-$200M,50000,1000000,$50K – $1M,https://www.linkedin.com/in/pras-hanuma
Probal Lala,Private Capital,Principal,Undisclosed,25000,100000,$25K – $100K,https://www.linkedin.com/in/proballala
Prolet Miteva,Private Capital,Principal,Undisclosed,25000,200000,$25K – $200K,https://www.linkedin.com/in/prolet
Radu Skutaru,Private Fund of Funds,Managing Partner / GP,$50M-$200M,50000000,500000000,$50M – $500M,https://www.linkedin.com/in/raduskutaru
Raja Rajeev Kumar,Single Family Office,Lead Allocator / Principal,Undisclosed,10000,5000000,$10K – $5M,https://www.linkedin.com/in/rajeevkumarraja
Rajeev Khandelwal Khandelwal,Single Family Office,Lead Allocator / Principal,$50M-$200M,3000000,25000000,$3M – $25M,https://www.linkedin.com/in/rajeev-khandelwal-8b355418
Ramona Fellmy,Private Capital,Principal,Undisclosed,50000,250000,$50K – $250K,https://www.linkedin.com/in/dappdet
